num_large_appliances,total_units_purchased,total_units_purchased_on_mfr_coup,total_units_purchased_on_store_coup,num_small_appliances,num_pets,num_members_in_household,household_income,male_head_avg_work_hours,female_head_avg_work_hours,household_id,rim_market,primary_head_avg_work_hours,total_head_avg_work_hours,weekday_shopper,weekday_purchase_percentage,residence_status
8,78.0000,1,0,14,0,4,5,48,32,1106799,1,32,80,1,0.66666667,2
8,24.0000,0,6,10,0,2,2,45,0,1106807,1,0,45,1,0.95833333,2
4,301.0000,0,0,15,1,3,1,0,15,1106856,1,15,15,1,0.84385382,2
14,110.0000,0,0,19,0,4,10,40,40,1106880,1,40,80,1,0.77272727,1
10,161.0000,0,0,17,1,3,8,44,40,1106898,1,40,84,0,0.24844720,1
12,176.0000,1,6,14,0,4,7,40,24,1106906,1,24,64,1,0.78409091,1
14,303.0000,2,1,16,2,4,6,60,32,1106922,1,32,92,1,0.95379538,1
2,53.0000,0,5,8,0,1,3,0,0,1106930,1,0,0,1,0.79245283,2
8,275.0000,2,0,17,1,3,3,45,0,1106955,1,0,45,1,0.85818182,1
10,133.0000,12,5,11,0,2,4,0,0,1106963,1,0,0,1,0.84962406,1
4,138.0000,8,10,8,0,2,3,0,40,1107045,1,40,40,1,0.87681159,2
6,399.0000,9,1,6,1,1,3,0,40,1107078,1,40,40,1,0.88471178,1
6,264.0000,3,5,14,1,4,5,40,20,1107102,1,20,60,0,0.45833333,1
11,107.0000,0,5,17,1,4,7,0,35,1107128,1,35,35,1,0.81308411,1
14,239.0000,9,8,14,0,5,6,42,34,1107136,1,34,76,1,0.78661088,1
12,68.0000,2,3,13,0,4,6,40,32,1107169,1,32,72,1,0.79411765,1
10,11.0000,1,2,12,0,1,3,0,0,1107219,1,0,0,1,0.63636364,1
10,19.0000,1,1,12,1,1,2,0,0,1107227,1,0,0,1,0.73684211,2
12,252.0000,2,0,19,2,4,7,50,55,1107342,1,55,105,1,0.62698413,1
12,166.0000,7,5,11,0,3,7,0,32,1107391,1,32,32,1,0.68072289,3
12,248.0000,11,0,14,1,3,5,56,0,1107409,1,0,56,1,0.79838710,1
12,101.0000,10,24,12,0,2,4,0,0,1107490,1,0,0,1,0.85148515,1
12,198.0000,7,1,15,0,2,8,50,40,1107524,1,40,90,0,0.39898990,1
12,59.0000,1,1,12,0,1,3,0,0,1107532,1,0,0,1,0.61016949,1
10,225.0000,7,17,13,0,5,13,50,0,1107573,1,0,50,1,0.83111111,1
14,109.0000,1,5,17,1,6,7,40,20,1107581,1,20,60,1,0.80733945,1
14,94.0000,5,6,14,0,2,7,0,0,1107649,1,0,0,1,0.92553191,1
10,331.0000,12,44,10,0,2,4,40,45,1107722,1,45,85,0,0.49244713,1
10,18.0000,0,2,14,0,1,4,0,0,1107839,1,0,0,1,0.88888889,1
8,222.0000,7,3,14,0,6,8,40,40,1107912,1,40,80,1,0.89639640,1
8,44.0000,0,11,5,0,1,3,0,0,1107946,1,0,0,1,0.95454545,2
6,90.0000,9,7,14,0,2,6,0,20,1107961,1,20,20,1,0.72222222,1
12,158.0000,8,0,16,1,2,2,0,0,1107979,1,0,0,1,0.79113924,1
16,219.0000,13,18,15,0,4,8,50,50,1108043,1,50,100,1,0.63470320,1
12,108.0000,7,16,8,1,3,5,0,0,1108076,1,0,0,1,0.88888889,1
12,312.0000,9,8,15,0,6,2,25,28,1108084,1,28,53,1,0.71474359,1
12,132.0000,4,1,12,0,6,4,0,0,1108126,1,0,0,1,0.65909091,1
8,103.0000,17,15,10,1,3,4,0,40,1108134,1,40,40,1,0.72815534,1
2,174.0000,0,0,12,0,3,3,0,40,1108159,1,40,40,1,0.80459770,2
16,217.0000,0,0,19,0,3,3,60,80,1108167,1,80,140,1,0.68663594,1
8,193.0000,17,15,14,1,3,7,60,60,1108191,1,60,120,1,0.51813472,1
10,35.0000,0,0,15,1,3,3,40,40,1108217,1,40,80,1,0.77142857,1
12,48.0000,3,0,14,0,2,11,45,40,1108290,1,40,85,1,0.54166667,1
9,165.0000,2,4,10,4,3,4,0,0,1108407,1,0,0,1,0.61818182,1
10,181.0000,7,4,17,0,2,3,0,0,1108449,1,0,0,1,0.83425414,1
9,109.0000,0,0,14,0,4,5,50,60,1108480,1,60,110,1,0.63302752,1
10,179.0000,0,3,15,1,5,7,54,40,1108514,1,40,94,1,0.65921788,1
2,26.0000,0,0,18,0,1,5,0,50,1108548,1,50,50,1,0.84615385,2
6,98.0000,13,20,10,0,1,3,0,0,1108555,1,0,0,1,0.87755102,2
4,34.0000,0,1,12,0,1,2,0,40,1108563,1,40,40,0,0.50000000,2
8,44.0000,5,5,6,0,2,6,50,45,1108597,1,45,95,1,0.93181818,1
10,64.0000,0,6,13,2,2,6,40,40,1108696,1,40,80,1,0.89062500,1
10,142.0000,0,2,18,1,3,9,0,40,1108712,1,40,40,0,0.26760563,2
8,86.0000,5,13,12,2,4,9,40,40,1108720,1,40,80,1,0.83720930,1
14,152.0000,0,1,17,1,3,6,40,40,1108753,1,40,80,1,0.65131579,1
12,39.0000,7,1,12,1,2,7,30,0,1108936,1,0,30,1,0.69230769,1
12,61.0000,0,6,11,0,2,11,40,18,1108951,1,18,58,1,0.93442623,1
12,123.0000,0,3,19,0,4,12,45,40,1108969,1,40,85,1,0.97560976,1
6,67.0000,4,0,10,1,2,2,0,0,1108993,1,0,0,1,0.86567164,1
9,103.0000,0,3,10,1,4,10,0,30,1109017,1,30,30,1,0.72815534,1
12,40.0000,1,7,12,0,2,7,34,20,1109066,1,20,54,1,0.67500000,1
2,51.0000,12,5,12,0,1,4,0,40,1109157,1,40,40,1,0.82352941,2
8,55.0000,2,0,8,0,1,1,0,0,1109165,1,0,0,1,0.50909091,2
12,3.0000,2,0,11,2,2,10,60,20,1109181,1,20,80,1,1.00000000,1
12,79.0000,2,2,12,0,2,8,40,40,1109207,1,40,80,1,0.58227848,1
14,289.0000,4,2,16,0,6,8,45,20,1109215,1,20,65,1,0.92733564,1
8,189.0000,6,0,13,3,4,6,40,25,1109231,1,25,65,1,0.86772487,1
13,134.0000,3,2,15,1,3,7,50,40,1109264,1,40,90,1,0.70149254,1
8,86.0000,3,2,16,0,4,5,40,40,1109298,1,40,80,1,0.56976744,2
10,25.0000,6,0,14,0,1,4,0,25,1109330,1,25,25,1,0.72000000,1
14,74.0000,7,0,17,1,4,9,40,20,1109355,1,20,60,1,0.71621622,1
12,90.0000,0,0,19,0,2,4,0,40,1109413,1,40,40,1,0.87777778,3
12,90.0000,2,0,18,3,3,7,40,0,1109439,1,0,40,0,0.16666667,1
6,79.0000,4,1,12,1,1,3,0,36,1109447,1,36,36,1,0.63291139,2
9,51.0000,1,0,15,2,3,7,0,35,1109538,1,35,35,1,0.52941176,1
10,174.0000,7,2,14,0,2,3,0,0,1109546,1,0,0,1,0.94827586,1
2,103.0000,1,16,8,0,2,5,20,0,1109579,1,0,20,1,0.76699029,2
4,49.0000,0,5,10,0,1,1,0,0,1109686,1,0,0,1,0.95918367,1
2,195.0000,0,11,2,0,1,3,0,0,1109702,1,0,0,1,0.87692308,2
14,406.0000,0,2,16,1,3,10,40,40,1109777,1,40,80,1,0.64532020,1
8,77.0000,0,0,4,0,1,6,0,0,1109785,1,0,0,1,0.57142857,1
